order,title,album,artist,release,bpm,energy,dance,loud,valence,length,acoustic,pop
1,Ultralight Beam,The Life of Pablo,Kanye West,6/10/16,107,39,60,-9,36,5:21,64,72
2,Father Stretch My Hands Pt. 1,The Life of Pablo,Kanye West,6/10/16,113,57,71,-4,43,2:16,14,75
3,Pt. 2,The Life of Pablo,Kanye West,6/10/16,145,72,67,-4,27,2:10,58,68
4,Famous,The Life of Pablo,Kanye West,6/10/16,174,74,47,-4,43,3:16,6,75
5,Feedback,The Life of Pablo,Kanye West,6/10/16,100,56,84,-6,16,2:27,59,63
6,Low Lights,The Life of Pablo,Kanye West,6/10/16,97,58,58,-5,55,2:12,73,59
7,Highlights,The Life of Pablo,Kanye West,6/10/16,102,63,55,-6,38,3:20,1,63
8,Freestyle 4,The Life of Pablo,Kanye West,6/10/16,126,56,47,-8,45,2:03,5,61
9,I Love Kanye,The Life of Pablo,Kanye West,6/10/16,160,38,66,-8,96,0:45,58,62
10,Waves,The Life of Pablo,Kanye West,6/10/16,96,59,39,-4,4,3:02,4,74
11,FML,The Life of Pablo,Kanye West,6/10/16,125,42,67,-7,15,3:56,31,68
12,Real Friends,The Life of Pablo,Kanye West,6/10/16,171,75,45,-6,13,4:12,27,67
13,Wolves,The Life of Pablo,Kanye West,6/10/16,78,40,54,-8,11,5:02,19,67
14,Frank's Track,The Life of Pablo,Kanye West,6/10/16,0,15,0,-7,0,0:38,97,60
15,Siiiiiiiiilver Surffffeeeeer Intermission,The Life of Pablo,Kanye West,6/10/16,72,42,73,-12,92,0:57,98,56
16,30 Hours,The Life of Pablo,Kanye West,6/10/16,95,81,82,-7,37,5:23,3,61
17,No More Parties In LA,The Life of Pablo,Kanye West,6/10/16,94,92,53,-2,69,6:14,23,64
18,Facts (Charlie Heat Version),The Life of Pablo,Kanye West,6/10/16,142,65,77,-4,39,3:21,5,63
19,Fade,The Life of Pablo,Kanye West,6/10/16,106,77,76,-6,31,3:14,10,71
20,Saint Pablo,The Life of Pablo,Kanye West,6/10/16,168,77,50,-4,41,6:12,27,64
21,On Sight,Yeezus,Kanye West,1/1/13,105,49,61,-3,53,2:36,45,53
22,Black Skinhead,Yeezus,Kanye West,1/1/13,130,82,78,-6,29,3:08,0,71
23,I Am A God,Yeezus,Kanye West,1/1/13,112,54,52,-7,30,3:52,3,56
24,New Slaves,Yeezus,Kanye West,1/1/13,68,59,50,-4,33,4:16,14,59
25,Hold My Liquor,Yeezus,Kanye West,1/1/13,107,33,49,-10,4,5:27,1,58
26,I'm In It,Yeezus,Kanye West,1/1/13,120,60,57,-5,43,3:55,13,56
27,Blood On The Leaves,Yeezus,Kanye West,1/1/13,172,68,42,-4,37,6:00,39,65
28,Guilt Trip,Yeezus,Kanye West,1/1/13,139,66,62,-6,58,4:04,15,52
29,Send It Up,Yeezus,Kanye West,1/1/13,93,55,70,-5,42,2:58,30,55
30,Bound 2,Yeezus,Kanye West,1/1/13,152,66,36,-3,30,3:49,13,65
31,Dark Fantasy,My Beautiful Dark Twisted Fantasy,Kanye West,1/1/10,88,59,59,-6,43,4:41,36,61
