order,title,artist,release,bpm,energy,dance,loud,valence,length,acoustic,pop
1,New Chain,Col3trane,5/19/17,139,45,57,-6,35,3:41,17,27
2,Biking,Frank Ocean,4/10/17,148,46,67,-7,27,4:38,68,78
3,Want You In My Soul - Club Mix,Lovebirds,3/27/15,121,68,75,-6,43,8:18,6,49
4,Wait For It,H.E.R.,9/9/16,158,34,67,-15,30,2:16,19,55
5,The Truth,Moonchild,11/20/15,76,42,79,-11,25,3:39,65,38
6,Damselfly,Loyle Carner,1/12/17,95,61,78,-8,56,2:53,53,43
7,Migration,Bonobo,1/13/17,122,56,56,-12,4,5:27,76,60
8,War,Tunji Ige,3/11/16,78,44,47,-12,40,3:40,86,31
9,No Longer Lovers,Billy Davis,10/10/16,105,43,75,-9,39,3:35,33,51
10,Redbone,Childish Gambino,11/17/16,160,37,74,-10,55,5:27,19,24
11,Epiphany,James Vickery,11/25/16,100,41,71,-10,32,3:12,14,35
12,Bring Yo Friends,Tunji Ige,4/1/16,114,81,58,-6,58,3:37,24,58
13,Location,Khalid,8/26/16,80,44,80,-10,33,3:38,28,82
14,Wngs,NxWorries,10/21/16,77,84,65,-7,73,1:37,33,39
15,Whatever You Want,Vasser,10/26/16,126,42,68,-10,10,3:38,31,33
16,Feel Like Makin' Love,D'Angelo,1/25/00,87,20,91,-10,52,6:22,10,9
17,Water Flow,Klyne,9/29/16,105,42,79,-10,24,3:45,66,36
18,Sky's The Limit (feat. 112) - 2014 Remastered Version,The Notorious B.I.G.,3/4/97,91,66,64,-5,50,5:29,22,58
19,715 - CR‡‡KS,Bon Iver,9/30/16,89,16,46,-11,37,2:12,88,63
20,Self Control,Frank Ocean,8/20/16,80,21,55,-10,44,4:10,77,15
21,Wild Love,Cashmere Cat,8/26/16,71,25,43,-6,17,3:28,58,40
22,I Found Lovin',Fatback Band,9/26/11,105,61,69,-10,40,4:07,0,43
23,Meant To Be,SG Lewis,8/18/16,110,52,73,-5,45,2:58,6,54
24,Dang! (feat. Anderson .Paak),Mac Miller,7/28/16,107,67,84,-7,56,5:05,1,24
25,Friends (feat. Bon Iver),Francis and the Lights,7/1/16,145,48,46,-9,63,3:08,28,61
26,Feel Like I Do,Disclosure,6/15/16,105,54,88,-8,71,3:15,4,55
27,Timmy's Prayer,Sampha,5/17/16,140,55,65,-10,24,4:22,48,52
28,Still,Liv Dawson,8/5/16,130,57,64,-9,25,3:55,22,36
29,I Need A Forest Fire,James Blake,5/5/16,129,30,38,-12,4,4:17,67,60
30,Yours,SG Lewis,5/23/16,128,25,65,-12,20,3:51,55,54
31,Falling,Snakehips,4/15/16,94,85,56,-3,53,3:40,20,40
32,Heart Don't Stand a Chance,Anderson .Paak,1/15/16,94,55,69,-6,50,5:12,17,55
33,Nothing,HNNY,1/2/15,117,43,79,-11,96,5:12,0,5
34,NO CD,Loyle Carner,8/18/16,95,79,77,-7,73,4:18,70,49
35,All Night,SG Lewis,2/13/16,93,41,69,-10,58,3:06,66,51
36,Say It,Flume,4/21/16,70,53,37,-7,27,4:23,7,49
37,This Is What It Feels Like,Banks,1/1/13,142,49,31,-9,18,5:02,21,1
38,GLOWED UP,KAYTRANADA,4/8/16,136,62,68,-10,42,4:58,4,3
39,For Sarah,Tourist,5/6/16,128,75,26,-6,5,3:45,81,5
40,Take It From Here,Justin Timberlake,11/4/02,75,58,53,-8,71,6:14,17,44
41,Six Eight,Gabriel Garz„n-Montano,2/11/14,115,14,81,-8,17,4:59,89,34
42,Holding Back,SG Lewis,6/14/16,104,58,75,-7,55,3:46,18,56
43,Missing You,The Internet,11/13/15,140,13,79,-13,24,2:17,51,50
44,Polaroids,Jay Prince,1/20/15,121,82,76,-6,53,4:38,30,51
45,The Talking Palm Tree,Alyss,3/16/16,198,65,50,-7,49,3:41,7,29
46,Stay Lost,Joe Hertz,3/4/16,84,65,59,-9,53,3:50,1,2
47,Someone That Loves You,HONNE,4/8/16,105,73,53,-5,41,4:05,4,54
48,Electric Relaxation,A Tribe Called Quest,10/25/99,98,53,87,-9,84,3:46,18,62
49,Brown Sugar,D'Angelo,7/3/95,83,49,72,-8,59,4:23,53,16
50,Just Friends (Sunny),Musiq Soulchild,11/14/00,95,37,75,-8,55,4:11,44,57
51,Sun Harmonics,Jon Hopkins,6/3/13,118,45,67,-18,7,11:54,22,6
52,King City,Majid Jordan,1/8/16,104,58,55,-9,6,3:21,19,3
53,Baby Please,HONNE,1/22/16,120,45,43,-8,22,3:56,37,47
54,The Waters,Anderson .Paak,1/15/16,91,68,67,-6,72,2:54,13,56
55,Manila,Maribou State,1/22/16,124,61,72,-8,36,3:13,31,44
56,Cliff,Lëpsley,2/29/16,116,43,74,-9,14,4:28,66,0
57,Woods,Bon Iver,1/20/09,77,35,19,-11,16,4:45,94,52
58,DLM,James Blake,4/8/13,75,17,42,-15,10,2:26,97,42
59,Painted Blue,Jono McCleery,10/2/15,132,23,38,-13,21,2:34,75,23
60,Second Thoughts,Dornik,8/7/15,146,31,54,-13,34,3:29,16,33
61,Night Air,Jamie Woon,1/1/11,110,51,84,-12,53,5:22,57,50
62,I Only Know (What I Know Now),James Blake,10/10/10,135,29,51,-17,17,5:15,36,0
63,Magnets - SG Lewis Remix,Disclosure,10/30/15,176,42,46,-9,34,4:46,47,11
64,The Moment,Tame Impala,7/17/15,119,83,33,-6,45,4:15,0,61
65,No Less,SG Lewis,6/19/15,92,28,56,-14,20,4:04,24,54
66,Them Changes,Thundercat,6/22/15,82,58,79,-8,73,3:07,54,56
67,The Light,Common,3/28/00,97,73,94,-4,66,4:22,3,35
68,Indecision,Sampha,7/29/13,134,35,61,-11,36,4:28,91,51
69,untitled 08 09.06.2014.,Kendrick Lamar,3/4/16,120,53,85,-10,68,3:56,25,57
70,Street Light (feat. Gwen Bunn),Jordan Rakei,8/15/14,162,39,62,-9,43,4:10,2,42
71,Full Circle (Bonobo Remix Feat. Boxed In),George FitzGerald,8/21/15,114,85,58,-8,16,5:43,48,4
72,U,Majid Jordan,7/17/14,75,49,52,-10,6,5:08,15,49
73,Still,The Japanese House,3/3/15,131,32,50,-10,4,3:18,74,3
74,Silver,Caribou,3/23/15,80,62,61,-8,65,5:17,16,32
75,The Light,XO,7/20/15,92,49,60,-12,9,3:35,44,31
76,Tomorrow,Jono McCleery,9/5/11,98,22,29,-13,12,6:51,93,27
77,What's a Girl to Do,Fatima Yamaha,2/13/15,120,52,81,-9,77,7:27,12,56
78,Pound Cake / Paris Morton Music 2,Drake,1/1/13,164,75,52,-7,26,7:13,15,52
79,In the Midst of It All,Tom Misch,8/28/15,88,24,36,-11,4,5:43,71,57
80,Technicolour Beat,Oh Wonder,9/4/15,130,35,60,-10,7,3:00,60,65
81,Tapestry,Liv Dawson,5/19/16,112,35,43,-9,19,3:49,69,53
82,Wash.,Bon Iver,5/21/11,163,15,32,-19,33,4:59,99,53
83,Simple Minded At Dawn - Original Mix,Pedestrian,2/12/16,122,27,53,-16,15,1:57,86,28
84,Abandon Window,Jon Hopkins,6/3/13,128,19,17,-25,12,4:57,82,11
85,Bad Religion,Frank Ocean,1/1/12,79,37,29,-8,12,2:55,75,58
